,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
88,shinyounji,100대맛집,모범음식점,충북맛집,한국인이사랑하는오래된한식당100선,청주맛집,옥산맛집,생생정보통맛집,순대국밥,옥산장날순대,순대,,,,,,,,,,,,,,,,
89,esteem_sk,옥산장날순대,옥산맛집,순대국밥,,,,,,,,,,,,,,,,,,,,,,,
90,blueskyofsummer,foodpic,존맛,koreanfood,food,먹스타그램,daily,traveler,monday,먹방,soup,옥산맛집,👍🏻,맛스타그램,옥산장날순대,korea,sundae,kimchi,굿밤,블루리본,instafood,청주맛집,순대,🐷,야식,,
91,biduri.foods,먹스타,프로먹방러,food,foodstagram,먹스타그램,음식스타그램,옥산장날순대,순대국,푸드스타그램,먹방,음식사진,,,,,,,,,,,,,,,
92,kredu02,옥산장날순대,순대국밥,,,,,,,,,,,,,,,,,,,,,,,,
93,"꼰지, 후오엄마, 1988. shar",옥산장날순대,한국100대맛집,모범음식점,순대국밥,70년전통,청주맛집,순대국수,옥산맛집,,,,,,,,,,,,,,,,,,
94,s_goi_official,옥산장날순대,,,,,,,,,,,,,,,,,,,,,,,,,
95,shinyounji,청주맛집,옥산장날순대,전국100대맛집,옥산맛집,70년전통,자연산버섯,곱창전골,,,,,,,,,,,,,,,,,,,
96,jang.haemi,각자의,삼계탕,청주apm떡볶이,옥산장날순대,보양식,한주마무리,,,,,,,,,,,,,,,,,,,,
97,shinyounji,순대국수,순대,점심,청주맛집,국수,충북맛집,순대국밥,청원맛집,먹스타그램,옥산장날순대,옥산맛집,해장,,,,,,,,,,,,,,
98,Taehun Park posted o,맛집100선,옥산장날순대,맛집,피순대,장터국밥,옥산,순대국밥,,,,,,,,,,,,,,,,,,,
99,shinyounji,충북맛집,순대국밥,먹스타그램,대통령다녀간집,모범음식점,옥산맛집,70년전통,순대,핵꿀맛,생생정보통맛집,대한민국100대음식점,청원맛집,옥산장날순대,대물림업소,청주맛집,,,,,,,,,,,
100,sswim_,순대국밥,깍두기는너무셔요,옥산맛집,냠냠,옥산장날순대,맛스타그램,먹스타그램,,,,,,,,,,,,,,,,,,,
101,shinyounji,술스타그램,낮술,옥산장날순대,먹스타그램,오쎄용🙌,비오는날,곱창전골,주당부부,막걸리,가덕막걸리,,,,,,,,,,,,,,,,
102,shinyounji,순대국밥,진짜맛있음,대통령도다녀간맛집,생생정보통맛집,청주맛집,조선일보선정맛집,해장,충북모범음식점,70년전통,순대,맛있다👍,맛스타그램,대물림업소,전국100대맛집,옥산장날순대,옥산맛집,,,,,,,,,,
103,ssong_2131,청주,60년전통,먹스타그램,맛집,충북,옥산,술스타그램,곱창전골,순대국밥,옥산장날순대,순대,,,,,,,,,,,,,,,
104,shinyounji,70년전통,생생정보통맛집,청원맛집,순대,청주맛집,대물림업소,옥산장날순대,,,,,,,,,,,,,,,,,,,
